"Country","Region","Date","Sex","Age","Cases","Deaths","Tests","CFR","Death_Rate","Log_CFR","High_Risk","Predicted_Probability","Predicted_Class"
"Canada","Urban",2022-01-01,"m",0,4091,215,44602,5.25543876802738,0.0525543876674274,1.83345128822567,1,0.797829070223162,1
"Canada","Rural",2022-01-01,"m",0,14555,269,42100,1.84816214359327,0.0184816214346629,1.0466739243706,0,0.23048777019648,0
"Canada","Urban",2022-01-01,"m",0,4981,407,39566,8.17104998996185,0.0817104998832141,2.21605178243556,1,0.760309067729142,1
"Canada","Rural",2022-01-01,"m",0,2960,495,45319,16.722972972973,0.167229729673233,2.87486170610276,1,0.837515317415592,1
"Canada","Urban",2022-01-01,"m",0,18488,394,46584,2.1311120726958,0.0213111207258053,1.1413882362408,0,0.103377716010724,0
"Canada","Rural",2022-01-01,"m",0,10762,391,11835,3.63315368890541,0.0363315368856782,1.53323777853819,1,0.431739821045887,0
"Canada","Urban",2022-01-01,"m",0,15031,266,10654,1.76967600292728,0.0176967600280955,1.01873034690589,0,0.212169596484933,0
"Canada","Rural",2022-01-01,"m",0,17283,33,34576,0.190939073077591,0.00190939073066543,0.174742132958508,0,0.13296300889702,0
"Canada","Urban",2022-01-01,"m",0,7347,205,20036,2.79025452565673,0.0279025452527695,1.33243317400476,1,0.639629844460433,1
"Canada","Rural",2022-01-01,"m",0,8211,136,9138,1.65631469979296,0.0165631469959124,0.976939710963064,0,0.5869229890863,1
"Canada","Urban",2022-02-01,"m",0,286,140,17513,48.951048951049,0.489510487798914,3.91104350489507,1,0.909416281917359,1
"Canada","Rural",2022-02-01,"m",0,5812,56,15020,0.963523743977977,0.00963523743812195,0.674740687643217,0,0.71909451847467,1
"Canada","Urban",2022-02-01,"m",0,14315,197,6130,1.37617883339155,0.0137617883329541,0.865493665246946,0,0.243020496495924,0
"Canada","Rural",2022-02-01,"m",0,6742,159,38721,2.35835063779294,0.0235835063744314,1.21144997184405,0,0.670788262685758,1
"Canada","Urban",2022-02-01,"m",0,16225,69,41870,0.425269645608629,0.00425269645582418,0.354361020808335,0,0.167297231816003,0
